"pen_count","avg_depl","dest_ct","origin_ct"
1,0.646852235916564,0.627142928053143,0.626636255875591
0.646852235916564,1,0.968556355588143,0.968678863563533
0.627142928053143,0.968556355588143,1,0.997811787525211
0.626636255875591,0.968678863563533,0.997811787525211,1
