"old_nc_name","new_nc_name","nc_id","Month","Avg deployment"
"ARROYO SECO NC","ARROYO SECO NC",42,2019-06-01,2
"ARROYO SECO NC","ARROYO SECO NC",42,2019-07-01,3
"ARROYO SECO NC","ARROYO SECO NC",42,2019-08-01,3
"ARROYO SECO NC","ARROYO SECO NC",42,2019-09-01,3
"ARROYO SECO NC","ARROYO SECO NC",42,2019-10-01,3
"ARROYO SECO NC","ARROYO SECO NC",42,2019-11-01,3
"ARROYO SECO NC","ARROYO SECO NC",42,2019-12-01,2
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2022-01-01,4
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2022-02-01,7
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2022-03-01,10
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2022-04-01,9
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2022-05-01,10
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2022-06-01,18
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2022-07-01,9
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2022-08-01,4
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2022-09-01,10
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2022-10-01,NA
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2022-11-01,NA
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2022-12-01,NA
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2021-01-01,1
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2021-02-01,2
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2021-03-01,3
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2021-04-01,3
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2021-05-01,3
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2021-06-01,5
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2021-07-01,5
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2021-08-01,7
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2021-09-01,7
