"","pen_count","avg_depl","dest_ct","origin_ct"
"pen_count",1,0.527808418851406,0.502410921209108,0.501761502063315
"avg_depl",0.527808418851406,1,0.884499098046225,0.881674839632148
"dest_ct",0.502410921209108,0.884499098046225,1,0.969003364806403
"origin_ct",0.501761502063315,0.881674839632148,0.969003364806403,1
