"NC_ID","data_nc_name","cert_name","month_yr","avg_depl"
42,"ARROYO SECO NC","ARROYO SECO NC",2022-09-01,6
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2019-01-01,0
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2019-02-01,0
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2019-03-01,1
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2019-04-01,3
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2019-05-01,5
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2019-06-01,7
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2019-07-01,29
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2019-08-01,25
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2019-09-01,23
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2019-10-01,7
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2019-11-01,3
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2019-12-01,2
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2020-01-01,2
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2020-02-01,7
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2020-03-01,1
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2020-04-01,0
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2020-05-01,0
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2020-06-01,1
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2020-07-01,2
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2020-08-01,2
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2020-09-01,2
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2020-10-01,2
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2020-11-01,2
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2020-12-01,1
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2021-01-01,1
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2021-02-01,2
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2021-03-01,3
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2021-04-01,3
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2021-05-01,3
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2021-06-01,5
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2021-07-01,5
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2021-08-01,7
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2021-09-01,7
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2021-10-01,5
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2021-11-01,8
